issn,titulo,citacoes_jcr,citacoes_scimago,impacto_jcr,impacto_scimago
10983600,GENETICS IN MEDICINE,7,159,6.6,2.697
15300366,GENETICS IN MEDICINE,7,159,6.6,2.697
18632297,Seminars in Immunopathology,10,118,7.9,2.695
18632300,Seminars in Immunopathology,10,118,7.9,2.695
2452414X,Journal of Industrial Information Integration,10,49,10.4,2.692
2452302X,JACC-Basic to Translational Science,8,58,8.4,2.69
16006135,AMERICAN JOURNAL OF TRANSPLANTATION,6,220,8.9,2.688
16006143,AMERICAN JOURNAL OF TRANSPLANTATION,6,220,8.9,2.688
14321475,JOURNAL OF POPULATION ECONOMICS,4,87,3.3,2.688
09331433,JOURNAL OF POPULATION ECONOMICS,4,87,3.3,2.688
01909320,POLITICAL BEHAVIOR,4,87,3.3,2.687
15736687,POLITICAL BEHAVIOR,4,87,3.3,2.687
15689972,AUTOIMMUNITY REVIEWS,9,152,9.2,2.677
18730183,AUTOIMMUNITY REVIEWS,9,152,9.2,2.677
21571422,Cold Spring Harbor Perspectives in Medicine,9,146,7.8,2.675
25748300,Circulation-Genomic and Precision Medicine,6,96,6.0,2.67
01634453,JOURNAL OF INFECTION,12,137,14.3,2.669
15322742,JOURNAL OF INFECTION,12,137,14.3,2.669
17448603,Globalization and Health,6,78,5.9,2.668
00207543,INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,8,186,7.0,2.668
1366588X,INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,8,186,7.0,2.668
21508097,Proceedings of the VLDB Endowment,3,153,2.6,2.666
21658110,Annual Review of Animal Biosciences,10,60,8.7,2.665
21658102,Annual Review of Animal Biosciences,10,60,8.7,2.665
23327812,Neurology-Neuroimmunology & Neuroinflammation,7,71,7.8,2.665
0269994X,APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE,6,111,4.9,2.664
14640597,APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE,6,111,4.9,2.664
18778585,Journal of Family Business Strategy,8,68,9.5,2.664
00903493,CRITICAL CARE MEDICINE,7,305,7.7,2.663
15300293,CRITICAL CARE MEDICINE,7,305,7.7,2.663
14643685,INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,7,245,6.4,2.663
03005771,INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,7,245,6.4,2.663
00219916,JOURNAL OF COMMUNICATION,7,162,6.1,2.658
14602466,JOURNAL OF COMMUNICATION,7,162,6.1,2.658
26317990,International Journal of Extreme Manufacturing,14,37,16.1,2.654
26318644,International Journal of Extreme Manufacturing,14,37,16.1,2.654
19493045,IEEE Transactions on Affective Computing,11,91,9.6,2.645
2041210X,Methods in Ecology and Evolution,8,161,6.3,2.643
18731430,ANNALES DE L INSTITUT HENRI POINCARE-ANALYSE NON LINEAIRE,2,76,1.8,2.641
02941449,ANNALES DE L INSTITUT HENRI POINCARE-ANALYSE NON LINEAIRE,2,76,1.8,2.641
2167082X,Digital Journalism,7,73,5.2,2.64
21670811,Digital Journalism,7,73,5.2,2.64
19324529,IEEE Industrial Electronics Magazine,7,84,5.6,2.634
00221465,JOURNAL OF HEALTH AND SOCIAL BEHAVIOR,7,146,6.3,2.634
21506000,JOURNAL OF HEALTH AND SOCIAL BEHAVIOR,7,146,6.3,2.634
11750561,AMERICAN JOURNAL OF CLINICAL DERMATOLOGY,7,107,8.6,2.631
14676419,JOURNAL OF ECONOMIC SURVEYS,6,113,5.9,2.63
09500804,JOURNAL OF ECONOMIC SURVEYS,6,113,5.9,2.63
15730697,JOURNAL OF BUSINESS ETHICS,8,253,5.9,2.624
01674544,JOURNAL OF BUSINESS ETHICS,8,253,5.9,2.624
14752840,Cardiovascular Diabetology,8,108,8.5,2.621
17575818,Journal of Service Management,10,88,7.8,2.617
14701340,Tourism Geographies,7,93,4.1,2.617
14616688,Tourism Geographies,7,93,4.1,2.617
16000447,ACTA PSYCHIATRICA SCANDINAVICA,6,166,5.3,2.615
0001690X,ACTA PSYCHIATRICA SCANDINAVICA,6,166,5.3,2.615
10963634,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY,6,167,6.2,2.612
10849521,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY,6,167,6.2,2.612
27724247,Communications in Transportation Research,12,22,12.5,2.609
17589193,Alzheimers Research & Therapy,8,97,7.9,2.608
03618609,AMERICAN JOURNAL OF HEMATOLOGY,10,130,10.1,2.607
10968652,AMERICAN JOURNAL OF HEMATOLOGY,10,130,10.1,2.607
10217770,JOURNAL OF BIOMEDICAL SCIENCE,10,110,9.0,2.606
14230127,JOURNAL OF BIOMEDICAL SCIENCE,10,110,9.0,2.606
10603743,JOURNAL OF SECOND LANGUAGE WRITING,5,105,5.0,2.606
08936080,NEURAL NETWORKS,7,173,6.0,2.605
18792782,NEURAL NETWORKS,7,173,6.0,2.605
18735118,PROGRESS IN NEUROBIOLOGY,8,256,6.7,2.605
03010082,PROGRESS IN NEUROBIOLOGY,8,256,6.7,2.605
17512409,Social Issues and Policy Review,9,48,7.2,2.605
17512395,Social Issues and Policy Review,9,48,7.2,2.605
26386100,Radiology-Artificial Intelligence,10,35,8.1,2.602
14695928,European Journal of Teacher Education,6,60,3.0,2.601
02619768,European Journal of Teacher Education,6,60,3.0,2.601
20952686,International Journal of Mining Science and Technology,8,71,11.7,2.6
22119124,Global Food Security-Agriculture Policy Economics and Environment,10,81,9.8,2.598
20493169,International Journal of Oral Science,11,64,10.8,2.596
16742818,International Journal of Oral Science,11,64,10.8,2.596
03043835,CANCER LETTERS,8,216,9.1,2.595
18727980,CANCER LETTERS,8,216,9.1,2.595
08876185,JOURNAL OF ANXIETY DISORDERS,7,141,4.8,2.588
18737897,JOURNAL OF ANXIETY DISORDERS,7,141,4.8,2.588
08902070,EUROPEAN JOURNAL OF PERSONALITY,5,103,3.6,2.587
10990984,EUROPEAN JOURNAL OF PERSONALITY,5,103,3.6,2.587
24519448,Cell Chemical Biology,8,206,6.6,2.584
24519456,Cell Chemical Biology,8,206,6.6,2.584
10795642,ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,8,292,7.4,2.582
15244636,ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,8,292,7.4,2.582
17593948,International Journal of Advertising,6,80,5.3,2.581
02650487,International Journal of Advertising,6,80,5.3,2.581
20515960,Acta Neuropathologica Communications,6,87,6.2,2.58
15580016,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,8,201,7.9,2.58
15249050,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,8,201,7.9,2.58
1465542X,BREAST CANCER RESEARCH,7,175,6.1,2.578
14655411,BREAST CANCER RESEARCH,7,175,6.1,2.578
19417705,Circulation-Cardiovascular Quality and Outcomes,8,111,6.2,2.578
19417713,Circulation-Cardiovascular Quality and Outcomes,8,111,6.2,2.578
23659440,International Journal of Educational Technology in Higher Education,9,61,8.6,2.578
09608524,BIORESOURCE TECHNOLOGY,9,364,9.7,2.576
18732976,BIORESOURCE TECHNOLOGY,9,364,9.7,2.576
17416248,Family Business Review,11,128,9.9,2.576
08944865,Family Business Review,11,128,9.9,2.576
13674811,BIOINFORMATICS,7,462,4.4,2.574
13674803,BIOINFORMATICS,7,462,4.4,2.574
17535131,Reviews in Aquaculture,11,86,8.8,2.573
17535123,Reviews in Aquaculture,11,86,8.8,2.573
15590097,ENDOCRINE PATHOLOGY,6,60,11.3,2.566
10463976,ENDOCRINE PATHOLOGY,6,60,11.3,2.566
2521327X,Quantum,7,57,5.1,2.562
10959157,JOURNAL OF AUTOIMMUNITY,8,139,7.9,2.558
08968411,JOURNAL OF AUTOIMMUNITY,8,139,7.9,2.558
25161083,Progress in Energy,11,20,11.5,2.555
21686173,JAMA Ophthalmology,7,221,7.8,2.553
21686165,JAMA Ophthalmology,7,221,7.8,2.553
10914269,DEPRESSION AND ANXIETY,7,160,4.7,2.549
15206394,DEPRESSION AND ANXIETY,7,160,4.7,2.549
16153383,FOUNDATIONS OF COMPUTATIONAL MATHEMATICS,2,68,2.5,2.546
16153375,FOUNDATIONS OF COMPUTATIONAL MATHEMATICS,2,68,2.5,2.546
22106715,Sustainable Cities and Society,10,130,10.5,2.545
22106707,Sustainable Cities and Society,10,130,10.5,2.545
17586593,INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT,9,163,7.1,2.543
01443577,INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT,9,163,7.1,2.543
00121797,DIABETES,7,370,6.2,2.541
1939327X,DIABETES,7,370,6.2,2.541
16000587,ECOGRAPHY,6,153,5.4,2.54
09067590,ECOGRAPHY,6,153,5.4,2.54
19980124,Nano Research,9,164,9.5,2.539
19980000,Nano Research,9,164,9.5,2.539
01677799,TRENDS IN BIOTECHNOLOGY,16,252,14.3,2.536
18793096,TRENDS IN BIOTECHNOLOGY,16,252,14.3,2.536
07439156,JOURNAL OF PUBLIC POLICY & MARKETING,6,90,5.1,2.535
15477207,JOURNAL OF PUBLIC POLICY & MARKETING,6,90,5.1,2.535
26390213,AVS Quantum Science,0,24,4.2,2.534
00246115,PROCEEDINGS OF THE LONDON MATHEMATICAL SOCIETY,1,65,1.5,2.532
1460244X,PROCEEDINGS OF THE LONDON MATHEMATICAL SOCIETY,1,65,1.5,2.532
15730913,SMALL BUSINESS ECONOMICS,7,167,6.5,2.53
0921898X,SMALL BUSINESS ECONOMICS,7,167,6.5,2.53
20448325,JOURNAL OF OCCUPATIONAL AND ORGANIZATIONAL PSYCHOLOGY,6,137,4.9,2.529
09631798,JOURNAL OF OCCUPATIONAL AND ORGANIZATIONAL PSYCHOLOGY,6,137,4.9,2.529
15583724,Polymer Reviews,14,110,11.1,2.529
15583716,Polymer Reviews,14,110,11.1,2.529
15529924,ENVIRONMENTAL HEALTH PERSPECTIVES,10,326,10.1,2.525
00916765,ENVIRONMENTAL HEALTH PERSPECTIVES,10,326,10.1,2.525
18731899,BIOTECHNOLOGY ADVANCES,14,242,12.1,2.521
07349750,BIOTECHNOLOGY ADVANCES,14,242,12.1,2.521
19410476,IEEE TRANSACTIONS ON SIGNAL PROCESSING,5,301,4.6,2.52
1053587X,IEEE TRANSACTIONS ON SIGNAL PROCESSING,5,301,4.6,2.52
08941491,GLIA,6,186,5.4,2.518
10981136,GLIA,6,186,5.4,2.518
22136711,Stem Cell Reports,5,108,5.9,2.518
18773435,Current Opinion in Environmental Sustainability,8,122,6.6,2.511
0959437X,CURRENT OPINION IN GENETICS & DEVELOPMENT,4,200,3.7,2.51
18790380,CURRENT OPINION IN GENETICS & DEVELOPMENT,4,200,3.7,2.51
22928782,Biofuel Research Journal-BRJ,10,45,14.4,2.508
15691705,REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,12,110,8.6,2.507
15729826,REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,12,110,8.6,2.507
13598546,SUPPLY CHAIN MANAGEMENT-AN INTERNATIONAL JOURNAL,10,146,7.9,2.507
15573117,JOURNAL OF HEART AND LUNG TRANSPLANTATION,7,156,6.4,2.505
10532498,JOURNAL OF HEART AND LUNG TRANSPLANTATION,7,156,6.4,2.505
21581592,Journal of Business Logistics,10,97,11.2,2.504
07353766,Journal of Business Logistics,10,97,11.2,2.504
09598049,EUROPEAN JOURNAL OF CANCER,7,245,7.6,2.501
18790852,EUROPEAN JOURNAL OF CANCER,7,245,7.6,2.501
18672949,Mathematical Programming Computation,9,44,4.3,2.501
18672957,Mathematical Programming Computation,9,44,4.3,2.501
20597029,ESMO Open,6,60,7.1,2.498
16091833,Ukrainian Journal of Physical Optics,0,21,0.0,2.493
23744650,Annual Review of Vision Science,7,43,5.0,2.49
23744642,Annual Review of Vision Science,7,43,5.0,2.49
0010437X,COMPOSITIO MATHEMATICA,1,61,1.3,2.49
15705846,COMPOSITIO MATHEMATICA,1,61,1.3,2.49
15928721,HAEMATOLOGICA,8,165,8.2,2.49
03906078,HAEMATOLOGICA,8,165,8.2,2.49
19485514,Social Psychological and Personality Science,4,92,4.3,2.489
19485506,Social Psychological and Personality Science,4,92,4.3,2.489
14795868,International Journal of Behavioral Nutrition and Physical Activity,7,151,5.6,2.485
15729672,SPACE SCIENCE REVIEWS,8,179,9.1,2.485
00386308,SPACE SCIENCE REVIEWS,8,179,9.1,2.485
21645760,Critical Finance Review,1,12,1.6,2.481
21645744,Critical Finance Review,1,12,1.6,2.481
15397718,QUARTERLY REVIEW OF BIOLOGY,5,87,3.7,2.479
00335770,QUARTERLY REVIEW OF BIOLOGY,5,87,3.7,2.479
20457979,Epidemiology and Psychiatric Sciences,7,72,5.9,2.476
20457960,Epidemiology and Psychiatric Sciences,7,72,5.9,2.476
13895567,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,14,106,12.8,2.475
00411655,TRANSPORTATION SCIENCE,5,128,4.4,2.475
14680432,GENDER WORK AND ORGANIZATION,5,95,3.9,2.473
09686673,GENDER WORK AND ORGANIZATION,5,95,3.9,2.473
25901168,eTransportation,17,38,15.0,2.47
23798858,IEEE Transactions on Intelligent Vehicles,11,57,14.0,2.469
1755098X,Molecular Ecology Resources,7,165,5.5,2.465
17550998,Molecular Ecology Resources,7,165,5.5,2.465
15200442,JOURNAL OF CLIMATE,5,330,4.8,2.464
08948755,JOURNAL OF CLIMATE,5,330,4.8,2.464
17413737,JOURNAL OF MARRIAGE AND FAMILY,5,183,2.7,2.464
00222445,JOURNAL OF MARRIAGE AND FAMILY,5,183,2.7,2.464
08853185,MOVEMENT DISORDERS,8,229,7.4,2.464
15318257,MOVEMENT DISORDERS,8,229,7.4,2.464
18790305,CYTOKINE & GROWTH FACTOR REVIEWS,10,182,9.3,2.46
13596101,CYTOKINE & GROWTH FACTOR REVIEWS,10,182,9.3,2.46
23977132,npj 2D Materials and Applications,10,52,9.1,2.46
00209996,INVESTIGATIVE RADIOLOGY,6,127,7.0,2.458
15360210,INVESTIGATIVE RADIOLOGY,6,127,7.0,2.458
09692126,STRUCTURE,4,200,4.4,2.456
18784186,STRUCTURE,4,200,4.4,2.456
26319268,NAR Genomics and Bioinformatics,4,25,4.0,2.454
2212571X,Journal of Destination Marketing & Management,8,75,8.9,2.45
15244628,STROKE,8,357,7.8,2.45
00392499,STROKE,8,357,7.8,2.45
20597908,BMJ Global Health,7,76,7.1,2.449
20539517,Big Data & Society,8,69,6.5,2.448
20414889,Cell Death & Disease,8,164,8.1,2.447
20573960,npj Computational Materials,11,78,9.4,2.447
26663864,Cell Reports Physical Science,8,49,7.9,2.446
10836101,Journal of Computer-Mediated Communication,8,139,5.4,2.445
23284277,Earths Future,8,72,7.3,2.444
18791646,JOURNAL OF HEALTH ECONOMICS,4,146,3.4,2.444
01676296,JOURNAL OF HEALTH ECONOMICS,4,146,3.4,2.444
1935861X,Brain Stimulation,8,108,7.6,2.438
18764754,Brain Stimulation,8,108,7.6,2.438
24260266,JPAD-Journal of Prevention of Alzheimers Disease,6,33,8.5,2.438
21663831,Materials Research Letters,8,74,8.6,2.438
00314005,PEDIATRICS,7,395,6.2,2.437
10984275,PEDIATRICS,7,395,6.2,2.437
03605302,COMMUNICATIONS IN PARTIAL DIFFERENTIAL EQUATIONS,2,91,2.1,2.436
15324133,COMMUNICATIONS IN PARTIAL DIFFERENTIAL EQUATIONS,2,91,2.1,2.436
10959572,NEUROIMAGE,6,418,4.7,2.436
10538119,NEUROIMAGE,6,418,4.7,2.436
13505084,ORGANIZATION,4,116,3.3,2.436
14617323,ORGANIZATION,4,116,3.3,2.436
20498470,Political Science Research and Methods,3,27,2.5,2.431
20498489,Political Science Research and Methods,3,27,2.5,2.431
21695172,Soft Robotics,13,80,6.4,2.43
10967516,Internet and Higher Education,8,117,6.4,2.426
10969896,JOURNAL OF PATHOLOGY,7,210,5.6,2.426
00223417,JOURNAL OF PATHOLOGY,7,210,5.6,2.426
00071013,BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,7,119,6.7,2.425
14678535,BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,7,119,6.7,2.425
20011326,Clinical and Translational Medicine,8,18,7.9,2.424
15205002,CHEMISTRY OF MATERIALS,8,424,7.2,2.421
08974756,CHEMISTRY OF MATERIALS,8,424,7.2,2.421
13590286,CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,13,132,12.2,2.42
10958592,JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,6,141,7.7,2.417
10848045,JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,6,141,7.7,2.417
2352250X,Current Opinion in Psychology,7,89,6.3,2.412
13558382,RNA,4,191,4.2,2.407
14699001,RNA,4,191,4.2,2.407
20491948,Wiley Interdisciplinary Reviews-Water,8,67,6.8,2.405
00283878,NEUROLOGY,8,411,7.7,2.404
1526632X,NEUROLOGY,8,411,7.7,2.404
15580644,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,7,305,7.5,2.403
01962892,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,7,305,7.5,2.403
13652044,ANAESTHESIA,8,141,7.5,2.4
00032409,ANAESTHESIA,8,141,7.5,2.4
00070912,BRITISH JOURNAL OF ANAESTHESIA,9,212,9.1,2.397
14716771,BRITISH JOURNAL OF ANAESTHESIA,9,212,9.1,2.397
15543528,Behavior Research Methods,7,171,4.6,2.396
1554351X,Behavior Research Methods,7,171,4.6,2.396
1555905X,Clinical Journal of the American Society of Nephrology,8,189,8.5,2.395
15559041,Clinical Journal of the American Society of Nephrology,8,189,8.5,2.395
01402382,WEST EUROPEAN POLITICS,4,99,4.5,2.395
17439655,WEST EUROPEAN POLITICS,4,99,4.5,2.395
15720241,AMERICAN JOURNAL OF GASTROENTEROLOGY,9,286,8.0,2.391
00029270,AMERICAN JOURNAL OF GASTROENTEROLOGY,9,286,8.0,2.391
01675729,SURFACE SCIENCE REPORTS,9,130,8.2,2.391
1879274X,SURFACE SCIENCE REPORTS,9,130,8.2,2.391
08866236,GLOBAL BIOGEOCHEMICAL CYCLES,6,212,5.4,2.387
19449224,GLOBAL BIOGEOCHEMICAL CYCLES,6,212,5.4,2.387
00221899,JOURNAL OF INFECTIOUS DISEASES,4,276,5.0,2.387
15376613,JOURNAL OF INFECTIOUS DISEASES,4,276,5.0,2.387
0022006X,JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,6,268,4.5,2.386
21623619,Experimental Hematology & Oncology,8,42,9.4,2.384
00335835,QUARTERLY REVIEWS OF BIOPHYSICS,6,106,7.2,2.379
14698994,QUARTERLY REVIEWS OF BIOPHYSICS,6,106,7.2,2.379
1873491X,INTERNATIONAL JOURNAL OF NURSING STUDIES,7,144,7.5,2.377
00207489,INTERNATIONAL JOURNAL OF NURSING STUDIES,7,144,7.5,2.377
18726623,PAIN,7,296,5.9,2.376
03043959,PAIN,7,296,5.9,2.376
00333123,PSYCHOMETRIKA,2,88,2.9,2.376
18600980,PSYCHOMETRIKA,2,88,2.9,2.376
00361410,SIAM JOURNAL ON MATHEMATICAL ANALYSIS,2,98,2.2,2.374
10957154,SIAM JOURNAL ON MATHEMATICAL ANALYSIS,2,98,2.2,2.374
15540774,ECONOMIC GEOLOGY,6,141,5.5,2.372
03610128,ECONOMIC GEOLOGY,6,141,5.5,2.372
26660172,Science of Remote Sensing,7,15,5.7,2.372
15253244,BIOSCIENCE,9,242,7.6,2.37
00063568,BIOSCIENCE,9,242,7.6,2.37
17443210,Computer Assisted Language Learning,6,75,6.0,2.37
09588221,Computer Assisted Language Learning,6,75,6.0,2.37
26669161,Resources Environment and Sustainability,11,21,12.4,2.37
03635465,AMERICAN JOURNAL OF SPORTS MEDICINE,5,266,4.2,2.363
15523365,AMERICAN JOURNAL OF SPORTS MEDICINE,5,266,4.2,2.363
08883270,MECHANICAL SYSTEMS AND SIGNAL PROCESSING,8,210,7.9,2.363
10961216,MECHANICAL SYSTEMS AND SIGNAL PROCESSING,8,210,7.9,2.363
18731570,RESUSCITATION,5,157,6.5,2.363
03009572,RESUSCITATION,5,157,6.5,2.363
26629291,Satellite Navigation,9,25,9.0,2.363
26621363,Satellite Navigation,9,25,9.0,2.363
15646971,WORLD BANK RESEARCH OBSERVER,8,76,8.7,2.363
02573032,WORLD BANK RESEARCH OBSERVER,8,76,8.7,2.363
20407122,Journal of Research in Interactive Marketing,9,59,9.6,2.359
23525509,Sustainable Production and Consumption,10,76,10.9,2.359
14320835,CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,2,83,2.1,2.357
09442669,CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,2,83,2.1,2.357
22104224,Environmental Innovation and Societal Transitions,7,79,5.7,2.357
26984016,Weather and Climate Dynamics,4,18,4.4,2.356
13640380,GEOMETRY & TOPOLOGY,1,56,1.7,2.355
14653060,GEOMETRY & TOPOLOGY,1,56,1.7,2.355
00126667,DRUGS,11,188,13.0,2.352
11791950,DRUGS,11,188,13.0,2.352
00273171,MULTIVARIATE BEHAVIORAL RESEARCH,5,97,5.3,2.351
15327906,MULTIVARIATE BEHAVIORAL RESEARCH,5,97,5.3,2.351
14682354,INTERNATIONAL ECONOMIC REVIEW,1,97,1.5,2.35
00206598,INTERNATIONAL ECONOMIC REVIEW,1,97,1.5,2.35
15359484,MOLECULAR & CELLULAR PROTEOMICS,6,206,6.1,2.348
2162402X,OncoImmunology,7,114,6.5,2.345
00904848,HUMAN RESOURCE MANAGEMENT,7,114,6.0,2.344
1099050X,HUMAN RESOURCE MANAGEMENT,7,114,6.0,2.344
19450877,Science Signaling,7,182,6.7,2.341
19379145,Science Signaling,7,182,6.7,2.341
10459219,IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS,4,159,5.6,2.34
21922640,Advanced Healthcare Materials,11,140,10.0,2.337
21922659,Advanced Healthcare Materials,11,140,10.0,2.337
14765594,ONCOGENE,7,370,6.9,2.334
09509232,ONCOGENE,7,370,6.9,2.334
20416520,Chemical Science,8,227,7.6,2.333
20416539,Chemical Science,8,227,7.6,2.333
14736578,CURRENT OPINION IN PSYCHIATRY,6,109,7.5,2.333
09517367,CURRENT OPINION IN PSYCHIATRY,6,109,7.5,2.333
13651609,INTERNATIONAL JOURNAL OF ROCK MECHANICS AND MINING SCIENCES,7,200,7.0,2.331
00917613,GEOLOGY,5,247,4.8,2.33
19432682,GEOLOGY,5,247,4.8,2.33
13675931,CURRENT OPINION IN CHEMICAL BIOLOGY,7,202,6.9,2.328
18790402,CURRENT OPINION IN CHEMICAL BIOLOGY,7,202,6.9,2.328
27525724,Materials Futures,12,14,12.0,2.328
15300285,MODERN PATHOLOGY,6,181,7.1,2.328
08933952,MODERN PATHOLOGY,6,181,7.1,2.328
13619209,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,7,135,7.3,2.328
01788051,PROBABILITY THEORY AND RELATED FIELDS,1,88,1.5,2.326
14322064,PROBABILITY THEORY AND RELATED FIELDS,1,88,1.5,2.326
01461672,PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN,4,229,3.4,2.325
15527433,PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN,4,229,3.4,2.325
02706474,JOURNAL OF NEUROSCIENCE,5,503,4.4,2.321
15292401,JOURNAL OF NEUROSCIENCE,5,503,4.4,2.321
22146296,Energy Research & Social Science,7,113,6.9,2.32
21986436,Current Forestry Reports,11,44,9.0,2.316
22221751,Emerging Microbes & Infections,8,94,8.4,2.316
18691870,Science China-Chemistry,7,84,10.4,2.316
16747291,Science China-Chemistry,7,84,10.4,2.316
23255870,IEEE Transactions on Control of Network Systems,4,67,4.0,2.313
20960042,CSEE Journal of Power and Energy Systems,6,36,6.9,2.309
10050302,Journal of Materials Science & Technology,10,118,11.2,2.309
1478811X,Cell Communication and Signaling,8,89,8.2,2.308
10529276,REVIEWS IN MEDICAL VIROLOGY,8,106,9.0,2.307
10991654,REVIEWS IN MEDICAL VIROLOGY,8,106,9.0,2.307
10795014,JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,4,178,4.8,2.305
17585368,JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,4,178,4.8,2.305
25425293,Materials Today Physics,9,68,10.0,2.304
15369323,Journal of the Association for Information Systems,7,97,7.0,2.302
10518215,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY,7,186,8.3,2.299
02650568,NATURAL PRODUCT REPORTS,11,211,10.2,2.297
14604752,NATURAL PRODUCT REPORTS,11,211,10.2,2.297
00029394,AMERICAN JOURNAL OF OPHTHALMOLOGY,4,214,4.1,2.296
18791891,AMERICAN JOURNAL OF OPHTHALMOLOGY,4,214,4.1,2.296
0012821X,EARTH AND PLANETARY SCIENCE LETTERS,5,287,4.8,2.294
00029602,AMERICAN JOURNAL OF SOCIOLOGY,5,206,4.4,2.29
15375390,AMERICAN JOURNAL OF SOCIOLOGY,5,206,4.4,2.29
10991719,SUSTAINABLE DEVELOPMENT,10,91,9.9,2.283
09680802,SUSTAINABLE DEVELOPMENT,10,91,9.9,2.283
20494394,Bone & Joint Journal,4,208,4.9,2.28
16197089,EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,8,186,8.6,2.28
16197070,EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,8,186,8.6,2.28
00167037,GEOCHIMICA ET COSMOCHIMICA ACTA,5,280,4.5,2.278
21965420,Journal of Modern Power Systems and Clean Energy,5,65,5.7,2.278
21965625,Journal of Modern Power Systems and Clean Energy,5,65,5.7,2.278
20589565,Quantum Science and Technology,6,52,5.6,2.276
23744677,npj Breast Cancer,6,46,6.5,2.275
1420682X,CELLULAR AND MOLECULAR LIFE SCIENCES,7,261,6.2,2.274
14209071,CELLULAR AND MOLECULAR LIFE SCIENCES,7,261,6.2,2.274
08912432,GENDER & SOCIETY,7,125,7.2,2.273
15523977,GENDER & SOCIETY,7,125,7.2,2.273
15357163,MOLECULAR CANCER THERAPEUTICS,5,199,5.3,2.27
15388514,MOLECULAR CANCER THERAPEUTICS,5,199,5.3,2.27
21677034,Clinical Psychological Science,6,72,4.8,2.269
21677026,Clinical Psychological Science,6,72,4.8,2.269
17439507,SERVICE INDUSTRIES JOURNAL,7,85,7.4,2.268
02642069,SERVICE INDUSTRIES JOURNAL,7,85,7.4,2.268
01435671,FISCAL STUDIES,4,51,2.2,2.267
14755890,FISCAL STUDIES,4,51,2.2,2.267
1774024X,EuroIntervention,5,95,7.6,2.266
19696213,EuroIntervention,5,95,7.6,2.266
22106502,Swarm and Evolutionary Computation,8,98,8.2,2.266
10453172,BRITISH JOURNAL OF MANAGEMENT,6,133,4.5,2.265
14678551,BRITISH JOURNAL OF MANAGEMENT,6,133,4.5,2.265
1054139X,Journal of Adolescent Health,6,193,5.5,2.265
18791972,Journal of Adolescent Health,6,193,5.5,2.265
00664812,ANTIPODE,4,121,3.6,2.263
14678330,ANTIPODE,4,121,3.6,2.263
26895269,International Journal of Transgender Health,8,54,10.5,2.263
26895277,International Journal of Transgender Health,8,54,10.5,2.263
10468188,ACM TRANSACTIONS ON INFORMATION SYSTEMS,6,95,5.4,2.262
15582868,ACM TRANSACTIONS ON INFORMATION SYSTEMS,6,95,5.4,2.262
